Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc																						
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Use%	"Spl,Mas,Skil"	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special																						
107	Ogre Mage 	Ogre Mage B	48	382	40	1764	30%10D6+L3Scroll	1	N	Med	Suicidal	3	220	90	0	Cursex2	Phys	6D7+6	0	30	Fire	14D4	Fire	25	"Fireball,M,14"	25	"Blades,M,14"	50	50	50	50	10	0	10	0	10	0	0																						
108	Ogre Magi	Ogre Mage C	65	565	50	3875	35%10D10+L4Scroll	1	N	Short	Suicidal	3	220	80	0	Cursex4	Phys	9D7+8	0	30	Air	18D4	Air	25	"Lightning Bolt,M,20"	25	"Ice Blast,M,20"	65	65	65	65	15	0	15	0	15	0	0																						
109	Unicorn Foal	Unicorn A	25	287	20	1475	15%20D5+L6Gem	1	N	Med	Aggress	3	360	70	0	Asleep	Water	5D9	Water	0	0	0	0	15	"Dispel Magic,E,10"	0	0	0	25	0	25	10	0	10	25	10	10	0																						
110	Unicorn	Unicorn B	55	527	40	2675	30%20D5+L6Gem	1	N	Med	Aggress	3	360	60	0	Asleepx2	Water	8D9	Water	0	0	0	0	20	"Dispel Magic,M,10"	0	0	0	35	0	35	20	0	20	35	20	20	0																						
111	Unicorn Herd Leader	Unicorn C	85	967	60	6175	20D5+L6Gem	1	N	Short	Aggress	3	360	50	0	Asleepx4	Water	11D9	Water	0	0	0	0	25	"Dispel Magic,G,10"	0	0	0	45	0	45	30	0	30	45	30	30	0																						
112	Emerald Dragon	Crystal Dragon A	120	1980	200	10000	250D10+L6	1	N	Long	Aggress	4	260	70	2	Errad	Dark	15D20	Ener	0	0	0	0	0	0	0	0	60	60	60	60	Imm	0	Imm	60	60	60	0																						
113	Sapphire Dragon	Crystal Dragon B	160	3250	250	18000	300D10+L6	1	N	Med	Aggress	4	260	65	2	Erradx2	Dark	20D20	Ener	0	0	0	0	0	0	0	0	70	70	70	70	Imm	0	Imm	70	70	70	0																						
114	Ruby Dragon	Crystal Dragon C	200	4785	300	30000	400D10+L6	1	N	Short	Aggress	4	260	60	2	Erradx4	Dark	25D20	Ener	0	0	0	0	0	0	0	0	80	80	80	80	Imm	0	Imm	80	80	80	0																						
115	Mist Hawk	Thunderbird A	49	369 	30	" 1,911 "	20D30	0	y	Long	Normal	4	750	40	0	Uncon	Phys	8D8	0	0	0	0	0	25	"Lightning Bolt,G,30"	0	0	5	Imm	5	0	5	0	5	5	5	5	0																						
116	Storm Eagle	Thunderbird B	69	 575 	35	" 4,071 "	25D30	0	y	Med	Normal	4	750	35	0	Unconx2	Phys	10D8+15	0	0	0	0	0	30	"Lightning Bolt,G,45"	0	0	10	Imm	10	0	10	0	10	5	5	10	0																						
117	Thunderbird	Thunderbird C	89	 961 	40	" 7,031 "	30D30	0	y	Short	Normal	4	750	30	2	Unconx4	Phys	14D8+40	0	0	0	0	0	35	"Lightning Bolt,G,60"	0	0	20	Imm	20	0	20	0	20	5	5	20	0																						
118	Wasp Worker	Wasp Warrior A	18	 107 	40	 375 	20%5d7+L1Dagger	0	Y	Long	Suicidal	4	800	100	0	Poison3	Phys	3D9+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
119	Wasp Sentry	Wasp Warrior B	25	226 	55	 744 	20%5d9+L1Sword	0	Y	Long	Suicidal	4	800	90	0	Paralyze	Phys	4D9+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
120	Wasp Warrior	Wasp Warrior C	42	 391 	75	 1659 	20%5d11+L2Sword	0	Y	Long	Suicidal	4	800	80	0	Dead	Phys	5D9+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
121	Wyvern 	Wyvern A	22	243	25	651	10D15	1	Y	Free	Normal	4	450	80	d	Poison3x4	Phys	7D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0																						
122	Horned Wyvern	Wyvern B	48	412	50	1764	10D20	1	Y	Long	Aggress	4	450	70	d	Paralyzex4	Phys	9D8	0	0	0	0	0	0	0	0	0	5	0	5	0	5	0	5	0	0	20	0																						
123	Ancient Wyvern	Wyvern C	72	737	75	4739	10D30	1	Y	Med	Suicidal	4	450	60	d	Deadx4	Phys	12D8	0	0	0	0	0	0	0	0	0	10	5	10	5	10	0	10	0	0	25	0																						
124	Brass Gorgon	Gorgon A	25	187	90	775	5D20	1	N	Med	Normal	2	200	90	0	Stone	Phys	4D4+8	0	0	0	0	0	0	0	0	0	Imm	Imm	20	20	50	0	50	50	50	80	0																						
125	Bronze Gorgon	Gorgon B	45	329	115	1875	10D20	1	N	Med	Aggress	2	200	90	0	Stonex2	Phys	5D4+10	0	0	0	0	0	0	0	0	0	Imm	Imm	30	30	60	0	60	60	60	90	0																						
126	Iron Gorgon	Gorgon C	65	576	140	3975	15D20	1	N	Short	Suicidal	2	200	80	0	Stonex4	Phys	6D4+12	0	0	0	0	0	0	0	0	0	Imm	Imm	40	40	70	0	70	70	70	100	0																						
127	Fire Newt	Salamander A	29	 241 	30	" 1,131 "	11D20	0	N	Long	Normal	2	260	90	0	BrkWeapon	Fire	6D7	0	0	0	0	0	10	"Fireball,E,15"	0	0	Imm	10	0	10	10	0	10	5	5	10	"Summon,ground,Gog A"																						
128	Fire Lizard	Salamander B	49	 417 	35	" 2,291 "	17D20	0	N	Med	Aggress	2	260	80	0	BrkWeaponx2	Fire	8D7+5	0	0	0	0	0	20	"Fireball,M,20"	0	0	Imm	15	0	15	15	0	15	5	5	15	"Summon,ground,Gog B"																						
129	Salamander 	Salamander C	69	 783 	40	" 4,551 "	21D20	0	N	Short	Suicidal	2	260	70	2	BrkWeaponx4	Fire	10D7+10	0	0	0	0	0	30	"Fireball,G,25"	0	0	Imm	20	0	20	20	0	20	5	5	20	"Summon,ground,Gog C"																						
130	Fire Bird	Phoenix A	49	 569 	30	" 3,911 "	11D20	0	y	Long	Normal	4	600	90	0	Weak	Fire	6D17+5	Fire	0	0	0	0	30	"Heal,G,63"	0	0	Imm	10	0	10	10	0	10	5	5	10	"shot,x3"																						
131	Phoenix	Phoenix B	69	 975 	35	" 6,871 "	17D20	0	y	Med	Normal	4	600	80	0	Weakx2	Fire	9D17+20	Fire	0	0	0	0	40	"Heal,G,63"	0	0	Imm	15	0	15	15	0	15	5	5	15	"shot,x3"																						
132	Grand Phoenix	Phoenix C	89	 1661 	40	" 9,000 "	21D20	0	y	Short	Normal	4	600	70	2	Weakx4	Fire	12D17+35	Fire	0	0	0	0	50	"Heal,G,63"	0	0	Imm	20	0	20	20	0	20	5	5	20	"shot,x3"																						
133	Triton 	Triton A	25	 240 	60	710 	15%10d9+L3Spear	0	N	Long	Aggress	2	260	90	0	BrkArmor	Phys	6D10	0	0	0	0	0	15	"Ice Blast,M,9"	0	0	0	5	Imm	0	5	0	5	0	0	5	0																						
134	Triton Warrior	Triton B	44	 420 	110	" 1,860 "	15%10d13+L4Spear	0	N	Med	Aggress	2	260	80	0	BrkArmorx2	Phys	8D10	0	0	0	0	0	20	"Ice Blast,M,12"	0	0	0	10	Imm	0	10	0	10	0	0	10	0																						
135	Triton Crusader	Triton C	68	 720 	160	" 4,275 "	15%10d15+L5Spear	0	N	Short	Aggress	2	260	70	0	BrkArmorx4	Phys	12D10	0	0	0	0	0	25	"Ice Blast,M,18"	0	0	0	15	Imm	0	15	0	15	0	0	15	0																						
136	Young Dragon Turtle	Dragon Turtle A	70	 650 	300	" 3,000 "	25%10D25+L4Sword	0	N	Med	Aggress	2	400	70	0	Erradx2	Phys	5D15	0	0	0	0	0	0	0	0	0	50	70	Imm	70	70	0	70	50	50	50	0																						
137	Dragon Turtle	Dragon Turtle B	80	 1050 	400	" 5,600 "	25%10D25+L5Spear	0	N	Short	Suicidal	2	400	60	0	Erradx3	Phys	6D15	0	0	0	0	0	0	0	0	0	60	80	Imm	80	80	0	80	60	60	60	0																						
138	Elder Tortoise	Dragon Turtle C	95	" 1,950 "	500	" 9,000 "	25%10D25+L5Dagger	0	N	Short	Suicidal	2	400	50	0	Erradx4	Phys	7D15	0	0	0	0	0	0	0	0	0	70	90	Imm	90	90	0	90	70	70	70	0																						
139	Rook	Raven Man A	40	390	25	2500	30%10D25+L3Sword	1	Y	Long	Aggress	4	800	50	0	Steal	Phys	10D7	0	0	0	0	0	0	0	0	0	10	Imm	10	0	10	0	10	5	5	10	0																						
140	Corbie	Raven Man B	50	720	40	3800	40%10D25+L4Sword	1	Y	Long	Aggress	4	800	40	0	Stealx2	Phys	12D7	0	0	0	0	0	0	0	0	0	20	Imm	20	0	20	0	20	5	5	20	0																						
141	Raven	Raven Man C	60	1040	55	4900	50%10D25+L5Sword	1	Y	Long	Aggress	4	800	30	0	Stealx4	Phys	14D7	0	0	0	0	0	0	0	0	0	30	Imm	30	0	30	0	30	5	5	30	0																						
142	Boulder	Malevolent Boulder A	32	180	65	1264	50%15D15+L4Gem	1	N	Long	Normal	3	100	90	2	BrkArmor	Phys	10D10	0	25	Earth	10D6	Earth	20	"Rock Blast,M,8"	0	0	150	30	30	Imm	Imm	0	Imm	0	0	220	"explode,8D20,earth"																						
143	Granite Boulder	Malevolent Boulder B	60	342	80	2850	65%20D20+L5Gem	1	N	Med	Aggress	3	100	80	2	BrkArmorx2	Phys	15D10	0	25	Earth	15D6	Earth	25	"Rock Blast,M,12"	0	0	160	35	35	Imm	Imm	0	Imm	0	0	230	"explode,10D20,earth"																						
144	Arcanite Boulder	Malevolent Boulder C	88	625	100	5575	25D25+L6Gem	1	N	Short	Suicidal	3	100	70	3	BrkArmorx4	Phys	20D10	0	25	Earth	20D6	Earth	30	"Rock Blast,M,20"	0	0	170	40	40	Imm	Imm	0	Imm	0	0	240	"explode,12D20,earth"																						
145	Plane Guardian	Plane Guardian A	75	620	100	3000	30%200D10+L5	0	N	Med	Suicidal	2	200	70	0	Disease1x2	Phys	8D8+10	0	0	0	0	0	0	0	0	0	15	15	15	15	15	0	15	15	15	15	"Summon,ground,Plane Guardian A"																						
146	Plane Protector	Plane Guardian B	100	1040	150	5600	30%250D10+L5	0	N	Short	Suicidal	2	200	60	0	Disease2x3	Phys	10D8+15	0	0	0	0	0	0	0	0	0	25	25	25	25	25	0	25	25	25	25	"Summon,ground,Plane Guardian B"																						
147	Plane Overlord	Plane Guardian C	125	1680	200	9000	40%300D10+L6	0	N	Short	Suicidal	2	200	50	0	Disease3x4	Phys	12D8+20	0	0	0	0	0	0	0	0	0	35	35	35	35	35	0	35	35	35	35	"Summon,ground,Plane Guardian C"																						
148	Crystal Walker	Crystal Walker A	90	420	150	4200	30%200D10+L5	1	N	Short	Suicidal	3	280	90	0	Paralyze	Phys	15D20	0	100	Phys	15D4	0	0	0	0	0	50	50	50	50	Imm	0	Imm	50	50	50	"explode,15D20,phys"																						
149	Crystal Sentry	Crystal Walker B	115	780	200	7200	30%250D10+L5	1	N	Short	Suicidal	3	280	80	0	Paralyzex2	Phys	20D20	0	100	Phys	20D4	0	0	0	0	0	60	60	60	60	Imm	0	Imm	60	60	60	"explode,20D20,phys"																						
150	Crystal Guardian	Crystal Walker C	140	1300	250	11000	30%300D10+L6	1	N	Short	Suicidal	3	280	70	0	Paralyzex4	Phys	25D20	0	100	Phys	25D4	0	0	0	0	0	70	70	70	70	Imm	0	Imm	70	70	70	"explode,25D20,phys"																						
151	Fear	Nightmare A	85	 780 	50	" 3,000 "	25%8D30+L3Ring	0	n	Med	Aggress	3	100	70	2	Uncon	Phys	6D8	0	30	Dark	6D8	Dark	30	"Heal,G,60"	0	0	30	30	30	30	30	0	30	Imm	Imm	Imm	0																						
152	Terror	Nightmare B	110	 1320 	75	" 5,600 "	25%8D30+L4Ring	0	n	Short	Suicidal	3	100	70	2	Unconx2	Phys	8D8	0	40	Dark	8D8	Dark	40	"Heal,G,60"	0	0	50	50	50	50	50	0	50	Imm	Imm	Imm	0																						
153	Nightmare	Nightmare C	135	" 1,960 "	100	" 9,000 "	25%8D30+L5Ring	0	n	Short	Suicidal	3	100	70	3	Unconx4	Phys	10D8	0	50	Dark	10D8	Dark	50	"Heal,G,60"	0	0	70	70	70	70	70	0	70	Imm	Imm	Imm	0																						
154	Ether Knight	Ether Knight A	100	 480 	50	" 5,000 "	30%10d25+L5Chain	0	N	Med	Aggress	2	240	40	0	DrainSP	Phys	7D9	0	25	Dark	7D9	Dark	20	"Dispel Magic,G,20"	20	"Pain Reflection,G,20"	Imm	Imm	Imm	Imm	15	0	15	30	30	0	"shot,x3"																						
155	Ether Champion	Ether Knight B	125	 810 	75	" 6,944 "	30%10d25+L5Plate	0	N	Med	Aggress	2	240	35	0	DrainSPx2	Phys	7D9+20	0	30	Dark	7D9+20	Dark	25	"Dispel Magic,G,30"	25	"Pain Reflection,G,30"	Imm	Imm	Imm	Imm	25	0	25	50	50	0	"shot,x3"																						
156	Ether Lord	Ether Knight C	150	 1420 	100	" 9,751 "	30%10d25+L5Sword	0	N	Short	Aggress	2	240	30	0	DrainSPx4	Phys	7D9+45	0	35	Dark	7D9+45	Dark	30	"Dispel Magic,G,40"	30	"Pain Reflection,G,40"	Imm	Imm	Imm	Imm	35	0	35	70	70	0	"shot,x3"																						
157	Charger	Juggernaut A	65	547	135	3475	20%5D50+L3Ore	1	N	Long	Suicidal	2	350	80	0	BrkArmor	Phys	8D20+40	0	0	0	0	0	0	0	0	0	70	70	70	Imm	Imm	0	Imm	60	60	120	0																						
158	Juggernaut	Juggernaut B	80	962	150	6200	30%10D50+L4Ore	1	N	Med	Suicidal	2	350	70	0	BrkArmorx2	Phys	12D20+60	0	0	0	0	0	0	0	0	0	80	80	80	Imm	Imm	0	Imm	65	65	135	0																						
159	Demolisher	Juggernaut C	105	1772	170	10075	40%15D50+L6Ore	1	N	Short	Suicidal	2	350	60	0	BrkArmorx4	Phys	16D20+80	0	0	0	0	0	0	0	0	0	90	90	90	Imm	Imm	0	Imm	75	75	150	0																						
160	Smoke Gog	Gog A	16	40	36	400	5d15	1	N	Short	Normal	3	285	90	0	0	Fire	1D10+5	Fire	0	0	0	0	20	"Fire Bolt,E,8"	0	0	Imm	0	0	0	0	0	0	0	0	0	"explode,4D5,fire"																						
161	Ember Gog	Gog B	27	85	48	599	8d15	1	N	Short	Normal	3	285	85	0	0	Fire	2D10+10	Fire	0	0	0	0	25	"Fire Bolt,E,15"	0	0	Imm	0	0	0	0	0	0	0	0	0	"explode,6D5,fire"																						
162	Fire Gog	Gog C	36	163	64	1051	11d15	1	N	Short	Aggress	3	285	80	0	0	Fire	3D10+15	Fire	0	0	0	0	30	"Fireball,E,10"	0	0	Imm	0	0	0	0	0	0	0	0	0	"explode,8D5,fire"																						
163	Skeletal Dragon	Bone Dragon A	50	380	120	2400	35%10D20+L2Amulet	1	Y	Short	Suicidal	4	300	100	0	Age	Dark	8D10	Dark	0	0	0	0	25	"Pain Reflection,E,20"	0	0	5	5	5	5	Imm	0	5	0	Imm	50	"explode,3D20,phys"																						
164	Bone Dragon	Bone Dragon B	65	710	160	4175	25%15D20+L3Amulet	1	Y	Short	Suicidal	4	300	95	0	Agex2	Dark	11D10	Dark	0	0	0	0	30	"Pain Reflection,E,20"	0	0	10	10	10	10	Imm	0	10	0	Imm	60	"explode,4D20,phys"																						
165	Undead Dragon	Bone Dragon C	85	1280	200	6200	15%18D20+L4Amulet	1	Y	Short	Suicidal	4	300	90	0	Agex4	Dark	14D10	Dark	0	0	0	0	35	"Pain Reflection,E,20"	0	0	15	15	15	15	Imm	0	15	0	Imm	65	"explode,5D20,phys"																						
166	Human Peasant	Bedraggled Human (peasant) A	1	3	3	11	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
167	Human Peasant	Bedraggled Human (peasant) B	2	6	5	24	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
168	Human Peasant	Bedraggled Human (peasant) C	3	9	6	39	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
169	Naga 	Naga A	30	 217 	50	 1200 	5%5D20+L2Sword	0	N	Short	Aggress	2	235	100	o	Poison1x2	Phys	10D8+25	0	0	0	0	0	10	"Blades,E,10"	0	0	5	0	5	0	0	0	0	0	0	5	0																						
170	Naga Warrior	Naga B	43	 392 	90	" 2,364 "	10%7D20+L3Sword	0	N	Short	Aggress	2	235	90	o	Poison2x3	Phys	15D8+35	0	0	0	0	0	15	"Blades,E,15"	0	0	10	5	10	5	0	0	0	0	0	10	0																						
171	Naga Queen	Naga C	68	 628 	130	" 4,524 "	15%10D20+L4Sword	0	N	Short	Aggress	2	235	80	o	Poison3x4	Phys	20D8+50	0	0	0	0	0	20	"Blades,M,20"	0	0	15	10	15	10	0	0	0	0	0	15	0																						
172	Skeleton Bowman	Skeletons Archer A	16	75	14	231	5%5D20+L1Bow	1	N	Short	Suicidal	3	150	90	0	Curse	Phys	2D6+2	Arrow	10	Fire	2D6+2	FireAr	0	0	0	0	0	0	0	0	Imm	0	0	0	30	30	0																						
173	Skeleton Hunter	Skeletons Archer B	23	155	24	399	10%7D20+L2Bow	1	N	Short	Suicidal	3	150	60	0	Cursex2	Phys	3D6+8	Arrow	10	Fire	3D6+8	FireAr	0	0	0	0	0	0	0	0	Imm	0	0	0	40	40	0																						
174	Skeleton Archer 	Skeletons Archer C	35	239	38	659	15%10D20+L3Bow	1	N	Short	Suicidal	3	150	60	0	Cursex4	Phys	3D7+8	Arrow	15	Fire	3D7+8	FireAr	0	0	0	0	0	0	0	0	Imm	0	0	0	50	50	"shot,x2"																						
175	Dark Dwarf Grunt	Dark Dwarf A	37	 139 	40	 959 	20%15D8+L1Gem	0	N	Med	Aggress	2	240	60	0	Asleep	Phys	4D5+10	ArrowF	0	0	0	0	0	0	0	0	10	10	10	Imm	10	0	10	0	0	10	"Summon,ground,Malevolent Boulder A"																						
176	Dark Dwarf Pounder	Dark Dwarf B	48	 267 	60	 1616 	20%15D10+L2Gem	0	N	Med	Aggress	2	240	60	0	Asleepx2	Phys	4D5+40	ArrowF	0	0	0	0	0	0	0	0	15	15	15	Imm	15	0	15	0	0	15	"Summon,ground,Malevolent Boulder B"																						
177	Dark Dwarf Berserker	Dark Dwarf C	61	 382 	80	" 2,871 "	40%15D16+L3Gem	0	N	Med	Aggress	2	240	60	0	Asleepx4	Phys	8D5+40	ArrowF	0	0	0	0	0	0	0	0	20	20	20	Imm	20	0	20	0	0	20	"Summon,ground,Malevolent Boulder C"																						
178	Fish	School of Fish (non-combatant) A	1	3	3	11	0	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
179	Fish	School of Fish (non-combatant) B	1	3	3	11	0	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
180	Fish	School of Fish (non-combatant) C	1	3	3	11	0	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
181	Pirate	Wimpy Pirate Warrior Male A	8	42	5	75	5D2	1	N	Long	Aggress	2	195	90	0	0	Phys	2D5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
182	Buccaneer	Wimpy Pirate Warrior Male B	11	69	9	125	7D2	1	N	Long	Aggress	2	195	80	0	0	Phys	2D5+3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
183	Corsair	Wimpy Pirate Warrior Male C	15	117	16	195	60%10D2+L1Sword	1	N	Free	Aggress	2	195	70	0	0	Phys	2D5+7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
184	Regnan Crossbowman	Wimpy Pirate Crossbowman (Female) A	5	17	0	75	5D2	1	N	Long	Normal	3	110	100	0	0	Phys	1D9+3	0	20	Phys	4D3	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
185	Regnan Arbalester	Wimpy Pirate Crossbowman (Female) B	8	30	0	144	7D2	1	N	Long	Aggress	3	130	90	0	0	Phys	1D9+5	0	30	Phys	4D3+1	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
186	Regnan Lieutenant	Wimpy Pirate Crossbowman (Female) C	10	40	0	200	60%10D2+L1Bow	1	N	Free	Suicidal	3	160	80	0	0	Phys	1D9+7	0	40	Phys	4D3+4	Arrow	0	0	0	0	5	5	5	5	5	0	5	0	0	0	0																						
187	Pirate Seer	Wimpy Pirate Mage Male A	1	3	0	11	5D2	1	N	Long	Aggress	3	110	90	0	0	Phys	2d4+1	0	0	0	0	0	30	"Fire Bolt,E,4"	0	0	0	0	0	0	0	0	0	0	0	0	0																						
188	Pirate Magi	Wimpy Pirate Mage Male B	2	6	0	24	7D2	1	N	Long	Aggress	3	130	80	0	0	Phys	2d4+2	0	0	0	0	0	40	"Lightning Bolt,E,4"	0	0	0	0	0	0	0	0	0	0	0	0	0																						
189	Pirate Wizard	Wimpy Pirate Mage Male C	3	9	0	39	50%10D2+L1Scroll	1	N	Long	Aggress	3	150	70	0	0	Phys	3d4+4	0	0	0	0	0	50	"Poison Spray,E,4"	0	0	5	5	5	5	5	0	5	0	0	0	0																						
190	Hatchling	Wimpy Dragon A	15	 67 	20	 375 	4D8	0	y	Med	Aggress	4	300	90	k	Afraid	Water	3D10	Water	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	0	10	0																						
191	Dragonette	Wimpy Dragon B	35	 227 	50	" 1,575 "	4D12	0	y	Med	Aggress	4	300	80	k	Afraidx2	Water	6D10	Water	0	0	0	0	10	"Dragon Breath,M,2"	0	0	15	15	15	15	15	0	15	0	0	15	0																						
192	Young Dragon	Wimpy Dragon C	60	 540 	80	" 4,200 "	4D20	0	y	Short	Aggress	4	300	70	k	Afraidx4	Water	10D10	Water	0	0	0	0	15	"Dragon Breath,M,6"	0	0	20	20	20	20	20	0	20	0	0	20	0																						
193	Soldier of Fortune	Human Mercenary A	24	152	20	300	5d6	1	N	Long	Aggress	2	285	90	0	Steal	Phys	3D7+4	0	0	0	0	0	0	0	0	0	5	5	5	5	5	0	5	0	0	0	0																						
194	Mercenary	Human Mercenary B	37	289	35	659	15%5d6+L2Sword	1	N	Med	Aggress	2	285	80	0	Stealx2	Phys	6D7+8	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	0	0	0																						
195	Mercenary Captain	Human Mercenary C	55	429	50	1416	25%5d6+L3Sword	1	N	Short	Aggress	2	285	70	0	Stealx4	Phys	9D7+20	0	0	0	0	0	0	0	0	0	15	15	15	15	15	0	15	0	0	0	0																						
196	Chaos Guardian	Wimpy Plane Guardian A	50	400	60	3000	30%200D10+L5	0	N	Med	Suicidal	2	200	70	0	0	Phys	15D4	0	0	0	0	0	0	0	0	0	15	15	15	15	15	0	15	15	15	0	0																						
197	Chaos Protector	Wimpy Plane Guardian B	70	700	80	5600	30%250D10+L5	0	N	Short	Suicidal	2	200	70	0	0	Phys	20D4	0	0	0	0	0	0	0	0	0	25	25	25	25	25	0	25	25	25	0	0																						
198	Chaos Overlord	Wimpy Plane Guardian C	90	1080	100	9000	30%300D10+L6	0	N	Short	Suicidal	2	200	70	0	0	Phys	25D4	0	0	0	0	0	0	0	0	0	30	30	30	30	30	0	30	30	30	0	0																						
199			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
200			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
201			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
202			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
203			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
204			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
205			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
206			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
207			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
208			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
209			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
210			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
211			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
212			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
213			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
214			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
215			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
216			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
217			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
218			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
219			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
220			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
221			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
222			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
223			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
